id,sort,hitokoto,from,from_who,creator,created_at
88,Animation,你不会死的，因为我会保护你.,EVA,,绤谷少年。,1468605909.0
92,Animation,胜而不灭，霸而不辱，这才是真正的征服。,fate zero,,以风之名,1468605909.0
93,Animation,我相信十年后的八月，我们还能再相遇。,secret base ～君がくれたもの～,,ツ绯/D誓言↙,1468605909.0
94,Animation,相信十年后的八月，我们还会相遇。,未闻花名,,Sai,1468605909.0
95,Animation,你的心可以属于耶稣，但你的屁股永远属于陆战队！,魔法少女陆战队,,jordan2004a,1468605909.0
97,Animation,我们走过风走过雨，就是没能走进彼此的内心。,自分,,漠伦,1468605909.0
98,Animation,烦恼这东西，是只有活着的人，才有的特权哦。,我们的存在,,伊达樱,1468605909.0
99,Animation,当朋友是不需要什么资格的。,全职猎人,,绤谷少年。,1468605909.0
100,Animation,年华无多时，恋爱吧男子！,源君物语,,当希望破灭时__,1468605909.0
101,Animation,求你，保护那孩子，消除灾厄，抹除祸事。哪怕⋯⋯那是我自己……,食灵,,游啊游の猪,1468605909.0
102,Animation,如果你不能击败你的敌人，那么就加入他们。,加菲猫,,xi4oh4o,1468605909.0
104,Animation,我们所过的每个平凡的日常，也许就是连续发生的奇迹。,日常,,桜花幻影,1468605909.0
106,Animation,倘若只是为了驱赶心中的寂寞，找谁都可以的。,秒速5厘米,,ggdog,1468605909.0
107,Animation,即使从梦中醒来，还会有回忆留下。,AIR,,Sai,1468605909.0
108,Animation,能够原谅女人的，才是男人。,海贼王,,798750776,1468605909.0
109,Animation,我会继续等着你，就算是一万二千年。,创圣的大天使EVOL,,19920214,1468605909.0
111,Animation,悲伤教会了我喜悦。,秋之回忆,,LT2142,1468605909.0
112,Animation,我到底要以怎么样的速度生活才能与你再次相遇？,秒速五厘米,,跳舞的果果,1468605909.0
113,Animation,我的船上没有手下，只有伙伴。,海贼王,,明雪嫣,1468605910.0
114,Animation,就是因为抱有不现实的理想，所以才总是做出如此极端的事情！,逆袭的夏亚,,言靈,1468605910.0
115,Animation,要是因为烦恼很痛苦，就选择了轻松的选项，将来一定会后悔。,樱花庄的宠物女孩,,青熊兽真烦人,1468605910.0
116,Animation,呐，知道么，樱花飘落的速度，是每秒五厘米哦~,秒速五厘米,,烤飞鱼的土豆,1468605910.0
117,Animation,知道活着的痛苦处的人就能对人温柔，这和软弱是不一样的。,eva,,林志广,1468605910.0
118,Animation,比起悲伤来说，无法分享快乐这件事，要更加的寂寞吧。,AIR,,林志广,1468605910.0
119,Animation,如果你执意追寻着我的幻影，总有一天会被真正的我打败。,棋魂,,炎羽,1468605910.0
121,Animation,你的那双手呢，是为了紧紧抓住什么而存在的哦。,仰望半月的夜空,,shijiongyuan,1468605910.0
122,Animation,去死两次！,迷途猫,,Sai,1468605910.0
123,Animation,世界は恋に落ちている。,青春之旅OP（我的世界已坠入爱河）,,咖啡少年不加糖,1468605910.0
124,Animation,自身不先改变的话，一切都不会改变。,银魂,,misora,1468605910.0
126,Animation,人生最糟糕的事，一个是饿肚子，一个是孤独。,夏日大作战,,空城”旧梦,1468605910.0
127,Animation,我不是萝莉控，是妹控啊！,我的妹妹不可能那么可爱第二季,,梁钲恒,1468605910.0
128,Animation,呐，我们好像是，被宇宙和地球拆散的恋人似的。,星之声,,yeyifangg,1468605910.0
129,Animation,一天吐槽太多次的话，梗也是会用完的。,我的脑内恋爱选项,,hsk,1468605910.0
131,Animation,心，可是很重的。,哈尔的移动城堡,,fujiyta,1468605910.0
132,Animation,不能逃避，不能逃避，不能逃避，不能逃避……,EVA,,憾天之泪,1468605910.0
133,Animation,以盐水作配菜，糖水做主食，就有种奢侈的感觉呢。,笨蛋测验召唤兽,,伊织刹那,1468605910.0
134,Animation,就算鼻血流尽，也不能放弃妄想。,摇曳百合,,守护那份情,1468605910.0
135,Animation,爱，其实很简单，困难的是去接受它。,通灵王,,Sai,1468605910.0
137,Animation,只要微笑就可以了。,EVA,,卍谷,1468605910.0
138,Animation,因为我喜欢你，喜欢得想吃掉你啊！,有顶天家族,,丶Jan,1468605910.0
139,Animation,求求你，不要对我这么温柔！,秒速五厘米,,被流放de蟹子,1468605910.0
141,Animation,失去的东西虽然拿不回来，但是，忘记的事情是可以想起来的。,TOUCH,,星野月瞳,1468605910.0
142,Animation,你还是这么冷漠啊。不过，仅此而已的话，我是不会泄气的。,银魂,,Sai,1468605910.0
144,Animation,正因为听不见和看不到，所以风子才会做这样的事情。,clannad,,悠光喵~~,1468605910.0
146,Animation,我并不羡慕别人的人生，这就是所谓幸福。,幸运星,,Sai,1468605910.0
148,Animation,我要拼，装上假牙也要拼！,灌篮高手,,Sai,1468605910.0
150,Animation,我的内心就和厕纸一样单纯！,Little Busters!,,科迪,1468605910.0
151,Animation,我的眼睛，就是为了寻找你而存在的。,H2O,,雾雨魔里纱,1468605910.0
152,Animation,烈焰中舞动的火花，将赐予邪恶异性交往以天罚。,潜行吧！奈亚子W,,1272146309@qq.com,1468605910.0
153,Animation,All for one，one for all.,海贼王,,青熊兽真烦人,1468605910.0
154,Animation,老是低着头，幸福可是会离你而去的喔。,我们的仙境,,南风之弦,1468605910.0
156,Animation,对不起，风太大，我没有听清楚……,东京巴比伦,,水幻之音,1468605910.0
157,Animation,你知道雪为什么是白色的吗？因为她忘记了本来的颜色。,反叛的鲁路修,,掌中tiger,1468605910.0
158,Animation,人生在世何其痛苦，所以咖啡至少该甜一点。,我的青春恋爱物语果然有问题,,以风之名,1468605910.0
159,Animation,我想让自己强大起来，因为至少我已经有幸和想要保护的人相遇了。,夏目友人帐,,Sai,1468605910.0
160,Animation,我只是做了我能做的事，没有时间想将来。,秒速五厘米,,Sai,1468605910.0
161,Animation,一天最大任务莫过于，好好睡觉，好好醒来。,火影忍者,,Sai,1468605910.0
162,Animation,不相信人咬不到肚脐的，咬破肚脐去死如何？,海猫鸣泣之时,,凌小雅,1468605910.0
163,Animation,一直保持微笑是有诀窍的，那就是，在想哭的时候放声大哭。,天使领域,,夏未安,1468605910.0
164,Animation,女人的武器不是眼泪，而是微笑。,凉宫春日的忧郁,,Sai,1468605910.0
165,Animation,十步做一死，千里不留行，事了拂衣去，深藏功与名~,侠客行,,Lozye,1468605910.0
166,Animation,只要有你，我便无所不能。,进击的巨人,,饼干,1468605910.0
167,Animation,不相信自己的人，连努力的价值都没有。,火影忍者,,泠树,1468605910.0
168,Animation,我只对现实世界绝望过，却未对自己绝望过！,只有神知道的世界,,魅影陌客,1468605910.0
169,Animation,虚伪的眼泪，会伤害别人，虚伪的笑容，会伤害自己。,反叛的鲁鲁修,,雪丶风,1468605910.0
170,Animation,我除了投三分，就什么都没有了……,灌篮高手,,Sai,1468605911.0
171,Animation,(눈_눈),进击的巨人,,世风,1468605911.0
172,Animation,我在人生的道路上迷失了。,火影忍者,,Sai,1468605911.0
173,Animation,历史虽然会一再重演，但人类却无法回到过去。,海贼王,,Sai,1468605911.0
174,Animation,观察铅笔和橡皮，哪个是攻哪个是受，请写出它们晚上的对话。,学生会的一己之见,,牧瀨、紅莉棲,1468605911.0
175,Animation,龙儿是我的，谁都不准碰！,龙虎斗,,游啊游の猪,1468605911.0
176,Animation,贫乳是社会地位的象征。是具有稀有价值的！,幸运星,,无限通行,1468605911.0
178,Animation,扎古不论怎么化妆都不可能变成高达的。,银魂,,アルム,1468605911.0
179,Animation,我在未来等你。,穿越时空的少女,,库腐腐,1468605911.0
182,Animation,要改变别人的心真是件很难办的事，不过改变自己要容易一点。,XXXHolic,,E聋魍魉,1468605911.0
183,Animation,我喜欢你们！超喜欢的！大家和我交往吧！绝对会让你们幸福的！,学生会的一己之见,,yeyifangg,1468605911.0
184,Animation,美丽的不是这个世界，而是看世界的你的眼神。,吸血鬼骑士,,燿燿,1468605911.0
186,Animation,成功率不到2%，那剩下的用勇气来补足吧！,勇者王,,魅影陌客,1468605911.0
187,Animation,我一直都在你身边 ，一直都在。,CLANNAD,,Samurai,1468605911.0
188,Animation,重要的不是你做了多少事，而是你放了多少心思进去。,凉宫春日的忧郁,,Sai,1468605911.0
190,Animation,哭泣并不能改变任何事情。,推理之绊,,Sai,1468605911.0
191,Animation,代表月亮消灭你！,美少女战士,,edvda,1468605911.0
192,Animation,不要，我现在暂时留在他身边，直到那转瞬即逝的日子到来。,夏目友人帐,,Sai,1468605911.0
193,Animation,就算是自私……我也希望那些人能够永远都有笑容……,夏目友人帐,,Sai,1468605911.0
194,Animation,我们开始一起攀登，这长长的，长长的坡道。,Clannad,,被流放de蟹子,1468605911.0
195,Animation,应该可以了吧，我已经很努力了，应该可以抵达终点了……,AIR,,绤谷少年。,1468605911.0
196,Animation,离别并不痛苦，因为我们都微笑着。,青之驱魔师,,腹黑小兔,1468605911.0
197,Animation,只要能努力，就应当去努力；只要还能前进，就要向前走去。,CLANNAD,,Sai,1468605911.0
198,Animation,邂逅本身，就是一种奇迹啊。,游魂,,以风之名,1468605912.0
199,Animation,与其被自己的本性牵着走而痛苦，倒不如试着改变自己。,银魂,,Sai,1468605912.0
200,Animation,爱迪生说过：“要把BOSS打倒就要准备足够的等级。”,学生会的一己之见,,牧瀨、紅莉棲,1468605912.0
201,Animation,世界并不完美，却因此而美丽。,奇诺之旅,,suicideXD,1468605912.0
202,Animation,我们的心就像那天空一样，永不分离。,缘之空,,佰千莫,1468605912.0
203,Animation,和我定下契约，成为魔法少女吧！,魔法少女小圆,,泠血·黑月,1468605912.0
204,Animation,一直注视着你，似近似远，总是触碰不到。,来自风平浪静的明天,,Dadicatus545,1468605912.0
205,Animation,我知道的，面码……自己已经死掉这点事，还是知道的……,我们仍未知道那天所看见的花的名字,,迷途羊,1468605912.0
206,Animation,共道人间惆怅事，不知今夕是何年。,周秦行纪,,wuxiaodeid,1468605912.0
208,Animation,无论你在哪里，就算我看不见你，我也会一直注视着你。,妖精的尾巴,,龙猫龙猫龙猫你好傻,1468605912.0
210,Animation,我的愿望是—幸福地活着，幸福地死去。,神不在的星期天,,19920214,1468605912.0
211,Animation,今天你最后遇见的那个人有在微笑吗？,幸运星,,Sai,1468605912.0
212,Animation,我的终点，与幸福同在。,AIR,,掌中tiger,1468605912.0
213,Animation,隐约雷鸣，阴霾天空，但盼风雨来，能留你在此。,言叶之庭,,_____丶X。,1468605912.0
214,Animation,我问你：你是我的Master吗？,命运守护夜,,跳舞的果果,1468605912.0
215,Animation,私だって今日こそ... 遠野くんに告白するんだ。,秒速五厘米,,Sai,1468605912.0
216,Animation,时间并不存在，存在的只有此刻。,魔女猎人,,绝聊,1468605913.0
217,Animation,没有期盼就不会出现奇迹。,古城荆棘王,,M崽,1468605913.0
218,Animation,受尽苦难而不厌，此乃阿修罗之道。,海贼王,,q84751202,1468605913.0
219,Animation,如果你都不知道自己想去哪里，那去哪里都是一样的。,柴郡猫,,Oxalis,1468605913.0
220,Animation,明天，不是你想要就能有的。,未闻花名,,なつめ たかし,1468605913.0
221,Animation,明明只是活着，哀伤却无处不在……,秒速五厘米,,Rewrite,1468605913.0
222,Animation,错误可不是为了别人才改的过来的，要为了自己才能改正。,XXXHolic,,神之翼者,1468605913.0
223,Animation,男人从小的时候就是无药可救的。,秋之回忆,,LT2142,1468605913.0
225,Animation,真可悲，你什么都不知道，在这个世界上没有什么是不重要的！,最终幻想,,qslzlancer,1468605913.0
226,Animation,前天是小兔子，昨天是小鹿，今天是你。,CLANNAD,,和你说88,1468605913.0
227,Animation,用我的左手将你那个不可理喻的幻想粉碎掉！,魔法禁书目录,,akirayc,1468605913.0
229,Animation,男人变态有什么错！,寒蝉鸣泣之时,,哀音,1468605914.0
231,Animation,真正的危机不是机器人像人一样思考，而是人像机器一样思考。,凉宫春日的忧郁,,Sai,1468605914.0
232,Animation,人は一生、中二病なんだ。,中二病也要谈恋爱,,tabrithzmh,1468605914.0
233,Animation,能够轻易就放弃的梦想，有存在的价值么？,守护甜心,,亂紅蓮,1468605914.0
235,Animation,只要你在，我便无所不能。,进击的巨人,,570964968,1468605914.0
237,Animation,比希望更炙热，比绝望更深邃，这就是爱啊。,魔法少女小圆-叛逆的物语,,chaucerling,1468605915.0
238,Animation,如果你愿意的话，让我带您去吧，这座小镇，愿望实现的地方……,CLANNAD,,沙茶酱,1468605915.0
239,Animation,窃人者，自失其宝。,假面骑士kabuto,,アリス,1468605916.0
240,Animation,有你在的日子才是我的日常。,琴浦小姐,,红叶乘风我愿,1468605916.0
241,Animation,男人就应该保持冷静，沸腾的水只会被蒸发掉。,假面骑士kabuto,,魅影陌客,1468605916.0
242,Animation,嗯，一个人也要加油，我是坚强的孩子。,AIR,,cloverxue,1468605916.0
243,Animation,时间带着明显的恶意，缓缓在我的头顶流逝。,秒速五厘米,,Sai,1468605917.0
244,Animation,人的记忆本来就是暧昧的，不值得信任。,叛逆的鲁鲁修R2,,奇迹之梦,1468605917.0
246,Animation,时间可以治愈？如果时间也病了怎么办？,寒蝉鸣泣之时,,“萌”字~好~,1468605918.0
247,Animation,无论在哪里遇到你，我都会喜欢上你。,AngleBeats!,,世风,1468605919.0
250,Other,我裤子都脱了你就给我看这个！！！,2ch,,占星术杀人魔法,1468605920.0
252,Animation,燃烧吧，我的小宇宙！,圣斗士星矢,,跳舞的果果,1468605921.0
253,Animation,无法逃避的是自我，而无法挽回的是过去。,机动战士高达,,Sai,1468605921.0
254,Animation,做出一副温柔的样子来折磨人不是更令人难受吗？,我的青春恋爱物语果然有问题,,alwaysandforever,1468605923.0
255,Animation,有些事情我不看透，不是我笨，只是我太善良。,樱桃小丸子,,岛音。,1468605924.0
256,Animation,有时语言就像把利刃，使用不当，就会成为凶器。,名侦探柯南,,D.C.,1468605925.0
258,Animation,所谓的人类，可是连短短的十分钟也等不起的。,Angel Beats!,,林志广,1468605929.0
259,Internet,用番茄Lu过…比香蕉好←那是你没领悟到香蕉的正确用法,樱花庒的宠物女孩 10 B站弹幕,,Lust·Sloth,1468605930.0
260,Animation,梦总是有会醒来的时候，不会醒的梦总有一天会变成悲伤。,AIR,,林志广,1468605932.0
261,Animation,能哭的地方只有厕所和爸爸的怀里。,CLANNAD,,jik1203,1468605934.0
262,Animation,你再怎么称赞我，我也不会高兴的，你这个混蛋~,海贼王,,雪丶风,1468605936.0
263,Animation,除了爱你，我什么都可以。,命运守护夜,,南风之弦,1468605946.0
264,Animation,败者死于绝望，胜者死于渴望。,戏言系列,,哀川润,1468605966.0
265,Animation,给，一辈子朋友劵。,日常,,单数,1468605973.0
268,Animation,沒有永远下不停的雨。,秋之回憶,,akirayc,1468606003.0
270,Animation,算了，和你说话感觉就像是大姨妈来了。,龙虎斗,,33,1468606073.0
271,Animation,“像你这样的白痴是怎么活过来的？”“因为我很自信。,海贼王,,陈亚,1468606080.0
272,Animation,梦想是什么，梦想是现实的延续；现实是什么，现实是梦想的终结。,EVA,,kigoo,1468606153.0
273,Animation,Time waits for no one.,穿越时空的少女,,沙茶酱,1468606219.0
274,Animation,时间是伟大的作家，总会写下完美的结局。,秋之回忆,,LT2142,1468606332.0
275,Comics,如果不能忠于自己的心，胜负又有什么价值呢？,塔希里亚故事集,,魅影陌客,1468949091.0
277,Comics,一起去看星星吧。,未来日记,,lies,1468949092.0
278,Animation,真正让我难受的，大概是因为让你看到如此狼狈的自己。,元气少女缘结神,,酷儿,1468949092.0
279,Comics,一定没有问题的！,魔卡少女樱,,魅影陌客,1468949092.0
280,Comics,我爱的人也爱着我，对我来说这简直是个奇迹。,NANA,,nana酱,1468949093.0
281,Comics,你为了你的正义，我为了我的正义。,火影忍者,,青媚狐,1468949093.0
282,Comics,就算风吹散了冰雪，想念也会留存下来。,滑头鬼之孙,,苏陌奕,1468949094.0
283,Comics,我的一生，无怨无悔！,北斗神拳,,HeYSH,1468949095.0
284,Comics,越是困难，越要抬起头，地上可找不到任何希望！,Zetman,,世界尽头之海,1468949098.0
286,Games,越是锐利的小刀切完东西后就越容易变钝。,东方永夜抄,,5454554a@2980.com,1468948789.0
287,Games,就算一次也好，我想在这颗星球上尽情奔跑。,Eden,,vinkey,1468948789.0
288,Games,承君此诺，必守一生。,仙剑奇侠传四,,锦重,1468948790.0
289,Games,少女祈祷中……,东方project,,qqa623582347,1468948790.0
290,Games,只要你还记得我，我就会一直在你的身边。,符文工房,,摇篮の月,1468948790.0
291,Games,这一路上有你的陪伴，我不再孤单。,幻想水浒传,,隐之鱼,1468948790.0
294,Games,无论发生什么，都请不要后悔与我的相遇……,CLANNAD,,dah,1468948792.0
295,Games,生尽欢，死无憾。,仙剑4,,_SCarLet,1468948792.0
296,Games,我决定以人类的一个方法来感激你，我打算以身相许！,仙剑奇侠传,,赵吟风,1468948793.0
297,Games,从一开始，我就不那么喜欢你。,秋之回忆,,隐之鱼,1468948793.0
298,Games,谎言不一定是谎言，被发现的谎言，才算是谎言。,秋之回忆,,坏坏的微笑,1468948793.0
299,Games,要超越过去与悲伤，用坚强和笑容去开拓明天。,伊苏,,SD影,1468948794.0
300,Games,人总是会变的，不要害怕改变哦。,秋之回忆,,幻、天使,1468948794.0
301,Games,既不回头，何必不忘；既然无缘，何必誓言；今日种种，似水无痕。,仙剑奇侠传,,Sai,1468948796.0
303,Games,工程穷三代，考古毁一生。,魔兽世界,,红叶乘风我愿,1468948797.0
304,Games,愿风指引着你的道路，愿你的刀刃永远锋利。,魔兽世界,,诺克提斯,1468948798.0
305,Games,虽有遗憾，并无后悔。,古剑奇谭,,_SCarLet,1468948802.0
306,Games,魔非魔，道非道，善恶在人心。欲非欲，情非情，姻缘由天定。,仙剑奇侠传,,Sai,1468948805.0
307,Games,人与人在偶然之中创造相遇与别离。,银河和声,,草莓的味道,1468948806.0
309,Games,少年心意，一如明月松间的青石流水，那些年里看到了，却不懂。,诛仙二,,以风之名,1468948842.0
310,Literature,阳光灼热，数不尽夏日繁华；蝉鸣幽幽，道不完苦辣酸甜。,危险同居人,,qq745840496,1468949194.0
311,Literature,控兄是我的个性的同时，也是勋章！,就算是哥只要有爱就没问题吧,,萧,1468949194.0
312,Literature,想要成为无论多么悲伤的时候，也能够漂亮微笑的人吧。,文学少女,,砕月,1468949194.0
313,Literature,但是，这一次你将不再孤独。,魔法禁书目录,,liyulong729,1468949195.0
315,Literature,我一直以为人是慢慢变老的，其实不是，人是一瞬间变老的。,舞！舞！舞！,,優しさの猫,1468949195.0
316,Literature,情深不寿，强极则辱，谦谦君子，温润如玉。,书剑恩仇录,,Hubert,1468949195.0
317,Literature,救救我啊奥特曼，哪怕你只能撑三分钟……,肯普法,,E聋魍魉,1468949195.0
318,Literature,正义不会因为无人歌颂而变成非议。,阿亚罗克年代记,,苍之轨迹,1468949196.0
319,Literature,夹在我女友与前女友与青梅竹马间的果然是修罗场！,夹在我女友与青梅竹马间的各种修罗场,,萧,1468949196.0
320,Literature,树大必有枯枝，人多必有白痴。,谢谢你！坏运,,hsk,1468949196.0
321,Literature,用我一生，换你十年天真无邪。,盗墓笔记,,秦木,1468949196.0
322,Literature,这是傻瓜的血脉使然啊。,有顶天家族,,Sumire,1468949197.0
323,Literature,想了解喜欢的人，可是，却不能理解。,文学少女,,Sai,1468949198.0
326,Literature,生我何用？不能欢笑。灭我何用？不减狂骄。,悟空传,,kaomao,1468949199.0
327,Literature,要让一群人团结起来，需要的不是英明的领导，而是共同的敌人。,我的青春恋爱物语果然有问题,,当歌,1468949202.0
328,Literature,风停之后再扬帆，船绝不会前行。,分身,,c7318418,1468949203.0
329,Literature,我发过誓，再也不装作没察觉，再也不逃避。,文学少女,,阎罗小菲,1468949203.0
332,Literature,只是，想要做些什么而已。 觉得不做些什么就会死掉而已。,戏言,,苦橙の种,1468949206.0
333,Literature,你永远是我唯爱旅行中名为秘密的起点站。,绘心,,Samurai,1468949207.0
336,Literature,愿我等之誓言，超越姓名与身份而永存。,风姿物语,,魅影陌客,1468949215.0
337,Literature,江湖可能因为少了谁而失色，却不会因为少了谁后就不再是江湖。,高手寂寞,,依韵,1468949218.0
338,Literature,你有学校也有朋友，但对我来说，我的生活中就只有你。,我与狗狗的十个约定,,Natsume_rin,1468949230.0
340,Literature,比起有一百个朋友，不如有个比一百人还要重要的真心朋友。,我的朋友很少,,Ntsume_rin,1468949266.0
341,Original,只有破碎的心才有伤人的棱角。,岁碎叶,,岁碎叶,1468949350.0
342,Original,如果你是我该多好，那你就会知道我有多难过，多喜欢你。,魔法师baby乖,,魔法师baby乖,1468949351.0
344,Original,今天的早餐是：早苗的面包、秋子的果酱和观铃的果汁~,Mion,,Mion,1468949351.0
345,Original,如果没什么好事发生的话，就把没有发生坏事的每一天当作好事吧。,万事屋神乐酱,,万事屋神乐酱,1468949351.0
347,Original,既然我无法停留，那么就飞到我再也不能飞的那一天吧。,シ舀シ舀,,シ舀シ舀,1468949352.0
348,Original,宅，是一种生活状态；死宅，是一种人生境界……,朝颜留空,,朝颜留空,1468949352.0
349,Original,自己永远是孤单的，但你可以让其他人变得不孤单。,Rokileng,,Rokileng,1468949353.0
350,Original,繁花落尽，明月映着谁老去……,滿城煙花落,,滿城煙花落,1468949353.0
351,Original,你是我的，那是曾经。我是你的，直到现在。,时静,,时静,1468949353.0
352,Original,也许我们都没有长大，只是世界变小了。,cukecora,,cukecora,1468949354.0
353,Original,苦到头未必是甜的，而甜到头一定是苦的 。,LastFairy,,LastFairy,1468949354.0
354,Original,请不要忘记，那给你带来感动的，名为二次元的理想乡。,hsk,,hsk,1468949355.0
355,Original,此时此刻一切都是静寂的，只剩下我与你的世界，这就是爱？,DgBoo,,DgBoo,1468949355.0
